Date,Open,High,Low,Close,Volume
6/25/2020 16:00:00,169.87,177.5,169.59,174.88,57335719
6/26/2020 16:00:00,173.42,173.85,167.6,170.01,50644426
6/29/2020 16:00:00,181,194.5,176.27,194.49,78499941
6/30/2020 16:00:00,188.02,188.49,180.38,183.3,65493075
7/1/2020 16:00:00,185.88,190.61,180.04,180.32,49036747
7/2/2020 16:00:00,185.58,187.79,180.43,180.81,41792299
7/6/2020 16:00:00,184.52,189.36,181.6,187.91,49471670
7/7/2020 16:00:00,185.07,185.07,178.65,178.88,37105275
7/8/2020 16:00:00,179.05,181.58,175.51,180.08,38116202
7/9/2020 16:00:00,179.67,180.75,172.81,173.28,33514458
7/10/2020 16:00:00,171.7,179.33,169.75,178.44,40955570
7/13/2020 16:00:00,180.2,183.25,174.36,175.65,43364676
7/14/2020 16:00:00,177,181.3,173.41,179.96,39256206
7/15/2020 16:00:00,185.54,189.53,181.25,187.94,48044830
7/16/2020 16:00:00,184.32,184.59,177.34,178.7,35050015
7/17/2020 16:00:00,178.41,181.1,175.55,175.66,26214977
7/20/2020 16:00:00,175.13,176.57,171.62,174.42,25294295
7/21/2020 16:00:00,178.43,182.65,176.75,178.63,40774510
7/22/2020 16:00:00,176.43,182.95,175.39,179.79,29790308
7/23/2020 16:00:00,178,182.5,175.42,176.45,29587221
7/24/2020 16:00:00,175.68,181.1,173.6,173.76,28548036
7/27/2020 16:00:00,173.19,174.14,169,170.21,30243773
7/28/2020 16:00:00,168.5,173.74,168.23,170.84,25349138
7/29/2020 16:00:00,172.9,173.01,162.25,166.01,51709634
7/30/2020 16:00:00,162.88,164.55,160.64,161.95,29140019
7/31/2020 16:00:00,161.55,163.4,156.26,158,30286699
8/3/2020 16:00:00,156.51,163.58,153.41,162.27,38520485
8/4/2020 16:00:00,164.63,167.4,163.01,165.07,30853453
8/5/2020 16:00:00,167.6,174.98,166.4,174.28,46550968
8/6/2020 16:00:00,172.8,175.57,170.6,172.2,32921629
8/7/2020 16:00:00,171.5,171.86,168.7,170.02,19317971
8/10/2020 16:00:00,171.36,179.79,171.33,179.41,35857657
8/11/2020 16:00:00,184.51,189.97,179.53,180.13,61036613
8/12/2020 16:00:00,184.01,184.15,173.19,175.44,40702391
8/13/2020 16:00:00,173.62,179.47,172.43,174.73,22958755
8/14/2020 16:00:00,173.09,179.47,172.35,178.08,32414091
8/17/2020 16:00:00,178.24,178.29,171.41,172.01,23352125
8/18/2020 16:00:00,172.01,173.24,169.01,170.23,21488490
8/19/2020 16:00:00,170.44,174.1,169.09,169.27,25601504
8/20/2020 16:00:00,168.54,170.84,165.86,169.58,23213414
8/21/2020 16:00:00,168.35,170.08,167.27,167.5,16945902
