Date,Open,High,Low,Close,Volume
3/3/2015 16:00:00,154.71,156.91,154.17,155.57,8656618
3/4/2015 16:00:00,154.62,155.22,154,154.35,4476188
3/5/2015 16:00:00,154.86,155.98,154.31,154.47,3327492
3/6/2015 16:00:00,153.92,155.03,152.81,153.12,3556216
3/9/2015 16:00:00,153.3,155.61,153.15,154.75,3432856
3/10/2015 16:00:00,153.3,154.13,152.42,152.42,3839411
3/11/2015 16:00:00,152.51,152.69,151.17,151.17,3395366
3/12/2015 16:00:00,151.28,152.92,151.28,152.04,2964675
3/13/2015 16:00:00,151.89,152.39,149.79,151.57,3569581
3/16/2015 16:00:00,152.39,154.19,152.27,153.67,2742676
3/17/2015 16:00:00,152.88,155,152.73,154.51,2925179
3/18/2015 16:00:00,154.04,155.99,152.11,155.73,4053609
3/19/2015 16:00:00,154.91,155.33,153.66,154.11,2539041
3/20/2015 16:00:00,155.04,155.49,154.48,154.5,4463981
3/23/2015 16:00:00,154.98,154.98,152.81,152.81,3029523
3/24/2015 16:00:00,151.96,152.62,151.35,151.65,3319174
3/25/2015 16:00:00,151.4,152.04,148.13,148.23,3747669
3/26/2015 16:00:00,147.83,148.85,145.96,148.17,3626966
3/27/2015 16:00:00,148.59,149.31,147.49,148.85,2600002
3/30/2015 16:00:00,151.1,153.17,149.98,152.7,3737257
3/31/2015 16:00:00,152.23,152.25,149.94,150.08,2975502
4/1/2015 16:00:00,149.97,150.02,146.82,148.64,4167531
4/2/2015 16:00:00,149.14,150.5,148.31,149.28,2934194
4/6/2015 16:00:00,148.15,151.45,148,150.93,3371457
4/7/2015 16:00:00,151.27,153.5,151.14,152.32,4299482
4/8/2015 16:00:00,152.19,153.5,152.19,153.36,2763398
4/9/2015 16:00:00,152.62,153.67,151.63,153.42,3966515
4/10/2015 16:00:00,153.55,154.96,153.25,154.38,3182905
4/13/2015 16:00:00,153.79,155.5,152.96,153.24,3033822
4/14/2015 16:00:00,152.93,153.54,151.59,153.21,2845971
4/15/2015 16:00:00,154.37,154.37,152.21,152.43,3687202
4/16/2015 16:00:00,151.66,152.53,151.05,151.97,2559783
4/17/2015 16:00:00,150.88,151.43,149.44,149.6,4671491
4/20/2015 16:00:00,151.06,153.55,151.01,152.67,3169131
4/21/2015 16:00:00,153.51,154.09,152,153.33,3768954
4/22/2015 16:00:00,152.36,153,148.85,151.19,8468924
4/23/2015 16:00:00,150.83,150.83,149.73,149.87,4079936
4/24/2015 16:00:00,149.54,149.86,148.02,148.4,4889228
4/27/2015 16:00:00,148.59,149,147.71,147.8,4603461
4/28/2015 16:00:00,147.9,148.37,146.01,147.51,4352892
4/29/2015 16:00:00,147.07,147.45,145.9,146.15,4761676
4/30/2015 16:00:00,145.25,145.94,142.75,143.34,4925132
5/1/2015 16:00:00,144.41,145.07,143.84,144.67,3555957
5/4/2015 16:00:00,143.85,144.79,143.18,144.02,8977485
5/5/2015 16:00:00,143.76,144.7,142.27,142.91,3669996
5/6/2015 16:00:00,143.01,143.15,140.43,141.04,5313279
5/7/2015 16:00:00,140.56,142.18,140.48,141.49,4868622
5/8/2015 16:00:00,143,145.94,142.98,145.46,7067903
5/11/2015 16:00:00,145.55,146.79,145.13,145.89,3969023
5/12/2015 16:00:00,144.94,146.08,144.01,145.43,3543150
5/13/2015 16:00:00,145.41,146.53,145.1,145.62,2679689
5/14/2015 16:00:00,146.88,148.25,146.65,147.96,3495694
5/15/2015 16:00:00,148.05,148.3,146.34,146.88,3368855
5/18/2015 16:00:00,146.88,147.24,146.3,146.71,2153183
5/19/2015 16:00:00,147.18,147.77,146.73,147.05,2366375
5/20/2015 16:00:00,147.14,147.34,146.1,146.42,2104019
5/21/2015 16:00:00,146.56,147.71,146.1,147.35,2676437
5/22/2015 16:00:00,147.26,147.27,144.8,144.81,3877944
5/26/2015 16:00:00,144.34,144.43,142.16,142.8,3476192
5/27/2015 16:00:00,143.42,143.75,142.58,143,2836746
5/28/2015 16:00:00,142.51,145.29,141.58,142.33,3103014
5/29/2015 16:00:00,142.26,142.26,140.32,140.52,6199095
6/1/2015 16:00:00,141.45,142.05,140.27,141.25,3897020
6/2/2015 16:00:00,141.44,144.46,140.63,143.25,4986500
6/3/2015 16:00:00,143.78,145.06,142.89,143.81,3755668
6/4/2015 16:00:00,143.22,143.23,140.95,141.19,3239507
6/5/2015 16:00:00,141.04,141.37,140.05,140.73,3215074
6/8/2015 16:00:00,140.24,141.35,140.2,140.64,2756645
6/9/2015 16:00:00,140.5,140.99,139.9,140.1,2647171
6/10/2015 16:00:00,140.68,142.6,140.29,141.62,2784196
6/11/2015 16:00:00,142.01,143.98,141.75,142.96,2924468
6/12/2015 16:00:00,142.62,142.86,141.09,142.8,2395238
6/15/2015 16:00:00,142.04,142.59,141.28,142.29,2630428
6/16/2015 16:00:00,141.42,143.58,141.42,142.34,2450557
6/17/2015 16:00:00,142.87,144,141.9,143.43,2773047
6/18/2015 16:00:00,143.91,146.53,143.91,145.38,3728900
6/19/2015 16:00:00,145.19,146.1,144.95,145.13,4837053
6/22/2015 16:00:00,146.07,146.21,145.09,145.7,2084111
6/23/2015 16:00:00,146.33,146.45,143.8,144.43,2864249
6/24/2015 16:00:00,143.76,144.8,142.51,143,3989088
6/25/2015 16:00:00,143.27,143.76,142.34,142.45,2150968
6/26/2015 16:00:00,143.03,143.04,141.89,142.48,3151846
6/29/2015 16:00:00,140.96,141.32,138.58,138.73,3754314
6/30/2015 16:00:00,140.06,140.06,138.44,138.72,3434761
7/1/2015 16:00:00,140.48,141.14,140.02,140.73,3260768
7/2/2015 16:00:00,141.29,141.52,139.88,140.21,2116516
7/6/2015 16:00:00,139.02,140.73,139,140.52,2093393
7/7/2015 16:00:00,140.8,143.44,140.14,143.15,3692104
7/8/2015 16:00:00,142.5,143.15,141.52,141.92,3386230
7/9/2015 16:00:00,143.89,144.2,142.73,142.8,2486829
7/10/2015 16:00:00,144.14,145.19,143.87,144.48,2192062
7/13/2015 16:00:00,145.96,146.75,145.6,146.62,2194235
