Date,Open,High,Low,Close,Volume
6/25/2020 16:00:00,374.23,380.2,367.29,379.6,9401800
6/26/2020 16:00:00,380,380,365,366.2,14802144
6/29/2020 16:00:00,366.79,368.18,356,368,8556203
6/30/2020 16:00:00,372.56,381.05,370.66,379.91,9197300
7/1/2020 16:00:00,380.83,383.03,376.52,381.2,8166170
7/2/2020 16:00:00,385.56,389.5,383.13,384.49,9101352
7/6/2020 16:00:00,389.67,396.35,388.5,393.57,7897343
7/7/2020 16:00:00,397.85,402.8,394.03,394.87,8944993
7/8/2020 16:00:00,399.75,409,398.62,408.64,9137013
7/9/2020 16:00:00,415.21,422.8,409.34,420.36,12363680
7/10/2020 16:00:00,423.55,426.21,415.15,419.17,12441869
7/13/2020 16:00:00,423.8,431.69,401,402.09,11426874
7/14/2020 16:00:00,403,416.11,391.42,415.08,13566855
7/15/2020 16:00:00,416.57,417.32,402.23,409.09,10099623
7/16/2020 16:00:00,400.6,408.27,395.82,405.39,8624118
7/17/2020 16:00:00,409.02,409.94,403.51,408.06,6657116
7/20/2020 16:00:00,410.97,421.25,406.27,420.43,7121271
7/21/2020 16:00:00,420.52,422.4,411.47,413.14,6941671
7/22/2020 16:00:00,414.7,424.1,411.66,417.55,9182271
7/23/2020 16:00:00,418,421.88,401.25,405.19,10291532
7/24/2020 16:00:00,395,414.59,391.08,407.78,11832300
7/27/2020 16:00:00,409.29,417.67,408.71,416.86,7303255
7/28/2020 16:00:00,414.97,415.28,408.37,408.62,6790901
7/29/2020 16:00:00,415.63,420.65,413.88,418.62,7112692
7/30/2020 16:00:00,415,424.92,411.81,424.56,7722004
7/31/2020 16:00:00,422.53,430.66,417.32,424.59,9657150
8/3/2020 16:00:00,429.3,443.95,428.61,440.41,10325456
8/4/2020 16:00:00,442,449.11,436.24,449.11,7758390
8/5/2020 16:00:00,449.76,454.87,446.65,451.47,6262493
8/6/2020 16:00:00,453.99,454.32,447.15,453.42,6107892
8/7/2020 16:00:00,452.5,460.19,441.5,447.98,8562899
8/10/2020 16:00:00,453.37,456.33,434.26,446.6,10694898
8/11/2020 16:00:00,442.95,445.47,431.83,434,8862763
8/12/2020 16:00:00,439.63,458.68,438.33,457.61,11623573
8/13/2020 16:00:00,461.84,468.87,454.23,457.72,9361489
8/14/2020 16:00:00,461.2,468.19,457.62,462.56,9160904
8/17/2020 16:00:00,474.05,496.39,472.69,493.48,15532523
8/18/2020 16:00:00,498,499.84,483.45,490.43,12586155
8/19/2020 16:00:00,491.86,492.6,483.92,485.54,15565558
8/20/2020 16:00:00,479,495,475.15,485.64,23034656
8/21/2020 16:00:00,488.07,512.35,487.81,507.34,24996738
8/24/2020 16:00:00,515.35,516.5,500.3,508.81,12264105
8/25/2020 16:00:00,505.23,510.45,502.95,510,7226920
8/26/2020 16:00:00,511.97,514.74,507.11,510.92,8031073
8/27/2020 16:00:00,511.26,514,502.66,505.13,7940073
8/28/2020 16:00:00,507,525.92,505.7,525.91,13428963
8/31/2020 16:00:00,527.31,543,521.51,534.98,12521030
9/1/2020 16:00:00,539.2,559.75,537.46,552.84,12811849
9/2/2020 16:00:00,588.15,589.07,556,573.86,21850322
9/3/2020 16:00:00,553.15,555.38,515.15,520.62,23628151
9/4/2020 16:00:00,511.35,527,468.19,504.9,36592071
9/8/2020 16:00:00,469.38,502,468.17,476.52,19893237
9/9/2020 16:00:00,496,512.37,489.27,508.6,18404957
9/10/2020 16:00:00,519.57,522.61,486.68,492.47,17467111
9/11/2020 16:00:00,499.42,506.1,475.83,486.58,15923172
9/14/2020 16:00:00,523.24,532.6,505.25,514.89,30043624
9/15/2020 16:00:00,531.2,531.95,513.11,519.64,18188914
9/16/2020 16:00:00,518.29,523.71,500.55,500.58,13939985
9/17/2020 16:00:00,485.29,503.59,481.39,498.54,19812794
9/18/2020 16:00:00,503.75,505.3,479.55,487.57,17461548
9/21/2020 16:00:00,477,500.9,476.18,500.69,18026061
9/22/2020 16:00:00,503,505.92,486.22,505.51,16161302
9/23/2020 16:00:00,503.02,509.08,483.17,484.95,16175308
9/24/2020 16:00:00,482.89,502.78,480.56,493.92,18281008
9/25/2020 16:00:00,497.9,515.34,489.83,514.95,14700407
9/28/2020 16:00:00,521.61,522.07,510,521.4,14345228
9/29/2020 16:00:00,517.5,537.71,517.33,529.03,15575124
9/30/2020 16:00:00,526.3,544.9,526.01,541.22,17229603
10/1/2020 16:00:00,550.32,550.51,538.43,544.58,13125059
10/2/2020 16:00:00,529,540.78,522.04,522.49,13812397
10/5/2020 16:00:00,529.44,545.77,528.91,545.7,11995457
10/6/2020 16:00:00,553.2,565.68,546.6,549.46,19610496
10/7/2020 16:00:00,559.99,564.77,554.54,558.56,10452129
10/8/2020 16:00:00,563,563.38,550.32,553.55,9472522
10/9/2020 16:00:00,550.68,552.97,546.43,550.51,8672273
10/12/2020 16:00:00,559.58,573.88,556.5,569.04,10868595
10/13/2020 16:00:00,571.86,573.94,560.75,569.93,8615078
10/14/2020 16:00:00,571.62,573.71,558.4,563.81,6916178
10/15/2020 16:00:00,552.43,560.23,550.71,558.8,6680628
10/16/2020 16:00:00,561.47,564.86,551.7,552.46,6065990
10/19/2020 16:00:00,556.12,559.34,536.27,539.91,7451714
10/20/2020 16:00:00,543.34,551.99,540.28,545.82,5730301
10/21/2020 16:00:00,545,551.66,539.1,540.99,5489933
10/22/2020 16:00:00,540.9,544.47,529.27,534.44,7261986
10/23/2020 16:00:00,538,543.73,531.65,543.61,5837107
10/26/2020 16:00:00,537.08,547.71,521.54,525.65,8422358
10/27/2020 16:00:00,532.24,537.68,527.66,535.87,6262992
