Date,Open,High,Low,Close,Volume
3/3/2015 16:00:00,22.42,22.54,22.11,22.18,4008638
3/4/2015 16:00:00,22.1,22.48,22.01,22.43,5670997
3/5/2015 16:00:00,22.42,22.9,22.37,22.86,8076425
3/6/2015 16:00:00,22.73,22.84,22.53,22.55,6434807
3/9/2015 16:00:00,22.56,22.78,22.51,22.61,5559693
3/10/2015 16:00:00,22.71,23.15,22.67,23,13180267
3/11/2015 16:00:00,23,23.3,22.82,22.88,6552965
3/12/2015 16:00:00,22.65,22.83,22.24,22.67,10174260
3/13/2015 16:00:00,22.57,22.76,22.25,22.7,8982188
3/16/2015 16:00:00,22.86,23.11,22.73,22.97,5923864
3/17/2015 16:00:00,22.9,23.26,22.76,23.25,7498556
3/18/2015 16:00:00,23.27,23.37,22.66,22.87,10346084
3/19/2015 16:00:00,22.97,23.3,22.78,23.22,7768859
3/20/2015 16:00:00,23.42,23.61,23.19,23.47,11552119
3/23/2015 16:00:00,22.77,23.07,22.7,22.71,10650277
3/24/2015 16:00:00,22.62,22.8,22.3,22.4,8262025
3/25/2015 16:00:00,22.36,22.39,20.97,21.04,13563840
3/26/2015 16:00:00,20.61,21.06,20.46,20.97,7797997
3/27/2015 16:00:00,21.01,21.46,20.75,21.38,7957152
3/30/2015 16:00:00,21.48,21.58,21.2,21.47,6331256
3/31/2015 16:00:00,21.41,21.43,20.91,20.93,8931942
4/1/2015 16:00:00,21,21.08,20.65,21.01,8269223
4/2/2015 16:00:00,21.16,21.19,20.88,21.06,4805086
4/6/2015 16:00:00,20.96,21.74,20.75,21.67,12896584
4/7/2015 16:00:00,21.67,22.1,21.55,21.86,10349069
4/8/2015 16:00:00,21.88,22.1,21.67,22.02,9160786
4/9/2015 16:00:00,21.87,22.6,21.84,22.53,9485827
4/10/2015 16:00:00,22.58,22.77,22.47,22.76,6468219
4/13/2015 16:00:00,22.67,22.84,22.45,22.55,5918106
4/14/2015 16:00:00,22.44,22.55,22.14,22.36,5506852
4/15/2015 16:00:00,22.4,22.8,22.31,22.63,6088960
4/16/2015 16:00:00,22.5,22.69,22.33,22.49,3882058
4/17/2015 16:00:00,22.06,22.42,22.01,22.2,7340917
4/20/2015 16:00:00,22.27,22.44,22.05,22.09,5790646
4/21/2015 16:00:00,22.18,22.36,21.95,22.06,5761365
4/22/2015 16:00:00,22.19,22.34,21.85,22.31,5185481
4/23/2015 16:00:00,21.89,22.43,21.65,22.22,6484469
4/24/2015 16:00:00,22.22,22.22,21.78,22.03,6023972
4/27/2015 16:00:00,22.15,22.59,21.91,22.2,6211356
4/28/2015 16:00:00,22.16,22.39,21.95,22.31,5862106
4/29/2015 16:00:00,22.15,22.37,22.05,22.14,4878919
4/30/2015 16:00:00,22.03,22.31,21.98,22.2,5471083
5/1/2015 16:00:00,22.38,22.82,22.28,22.75,6424185
5/4/2015 16:00:00,22.7,22.88,22.54,22.61,5018024
5/5/2015 16:00:00,22.51,22.56,21.93,22.03,7323195
5/6/2015 16:00:00,22.15,22.36,21.81,22.1,7912111
5/7/2015 16:00:00,22,22.56,21.94,22.49,13364077
5/8/2015 16:00:00,21.01,21.84,20.49,20.83,28663778
5/11/2015 16:00:00,20.57,20.84,20.38,20.63,13603644
5/12/2015 16:00:00,20.47,21,20.47,20.83,9719994
5/13/2015 16:00:00,20.98,21.14,20.75,20.95,7713070
5/14/2015 16:00:00,21.01,21.4,20.96,21.29,7326280
5/15/2015 16:00:00,21.38,21.48,21.17,21.3,5395619
5/18/2015 16:00:00,21.25,21.4,21.15,21.27,8124292
5/19/2015 16:00:00,21.2,21.27,21,21.04,6345222
5/20/2015 16:00:00,21.04,21.3,21.02,21.04,4920581
5/21/2015 16:00:00,21.08,21.14,20.87,20.89,5992250
5/22/2015 16:00:00,20.93,21.02,20.81,20.86,5315282
5/26/2015 16:00:00,20.9,20.9,20.57,20.73,6493277
5/27/2015 16:00:00,20.87,21.94,20.8,21.84,10808271
5/28/2015 16:00:00,21.8,22.21,21.8,22.14,8191431
5/29/2015 16:00:00,22.14,22.28,22.1,22.13,8379244
6/1/2015 16:00:00,22.28,22.6,22.13,22.38,9316504
6/2/2015 16:00:00,22.29,22.36,21.92,21.94,5607582
6/3/2015 16:00:00,21.97,22.17,21.66,21.7,6269692
6/4/2015 16:00:00,21.77,22.16,21.57,22.09,8092765
6/5/2015 16:00:00,22.02,22.36,21.79,22.26,7833001
6/8/2015 16:00:00,22.2,22.34,21.5,21.75,8570301
6/9/2015 16:00:00,21.79,22.02,21.73,21.86,6422222
6/10/2015 16:00:00,21.62,21.74,21.35,21.47,13236526
6/11/2015 16:00:00,21.49,21.85,21.47,21.7,7076296
6/12/2015 16:00:00,21.55,21.69,21.06,21.11,8093164
6/15/2015 16:00:00,21.01,21.17,20.84,21.07,7663673
6/16/2015 16:00:00,21.01,21.36,20.82,21.33,6422253
6/17/2015 16:00:00,21.33,21.7,21.27,21.58,5838648
6/18/2015 16:00:00,21.77,22.08,21.7,21.94,7485090
6/19/2015 16:00:00,21.96,22.12,21.67,21.87,8891427
6/22/2015 16:00:00,21.92,22.03,21.45,21.78,12855929
6/23/2015 16:00:00,21.8,21.99,21.05,21.22,10351627
6/24/2015 16:00:00,21.17,21.3,20.91,21.01,6334204
6/25/2015 16:00:00,21.01,21.3,21.01,21.17,8761548
6/26/2015 16:00:00,21,21.17,20.65,20.74,10532373
6/29/2015 16:00:00,20.46,20.71,20.09,20.12,9793096
6/30/2015 16:00:00,20.23,20.33,19.97,20.11,7897857
7/1/2015 16:00:00,20.61,20.9,20.22,20.4,7573001
7/2/2015 16:00:00,20.39,20.55,20.29,20.42,3644115
7/6/2015 16:00:00,20.25,20.53,20.02,20.17,5369413
7/7/2015 16:00:00,20.05,20.13,19.16,19.79,14856327
7/8/2015 16:00:00,19.68,19.8,19.49,19.65,8312287
7/9/2015 16:00:00,19.96,20.05,19.29,19.41,8939745
7/10/2015 16:00:00,19.66,19.93,19.61,19.75,5417717
7/13/2015 16:00:00,19.95,19.99,19.75,19.88,5311791
7/14/2015 16:00:00,19.91,19.93,19.63,19.89,6230429
7/15/2015 16:00:00,19.84,19.97,19.57,19.75,6643348
7/16/2015 16:00:00,19.87,20.19,19.8,20.19,7072291
7/17/2015 16:00:00,20.12,20.14,19.81,20.07,5509308
7/20/2015 16:00:00,20.07,20.15,19.65,19.7,4710259
7/21/2015 16:00:00,19.66,20.07,19.66,19.79,3743010
7/22/2015 16:00:00,19.65,19.65,19.17,19.41,8911819
7/23/2015 16:00:00,19.45,19.94,19.41,19.65,4247872
7/24/2015 16:00:00,19.79,19.81,19.34,19.42,4721099
7/27/2015 16:00:00,19.25,19.53,19.09,19.31,4810520
7/28/2015 16:00:00,19.36,19.86,19.16,19.73,4957733
7/29/2015 16:00:00,19.69,20.13,19.61,19.97,5817033
7/30/2015 16:00:00,19.92,20.22,19.92,20.02,4754479
7/31/2015 16:00:00,20.1,20.11,19.83,19.95,5459211
8/3/2015 16:00:00,20.11,20.31,19.85,20.29,9928278
8/4/2015 16:00:00,20.22,20.43,20.14,20.37,6502514
8/5/2015 16:00:00,20.87,20.89,20.54,20.58,5865652
8/6/2015 16:00:00,20.53,20.68,20.11,20.45,16391890
8/7/2015 16:00:00,22.46,23.37,21.88,22.98,35131171
8/10/2015 16:00:00,22.82,23.95,22.68,23.78,16557636
8/11/2015 16:00:00,23.43,23.89,23.43,23.66,10875209
8/12/2015 16:00:00,23.28,23.89,23.28,23.72,9602012
8/13/2015 16:00:00,23.75,23.8,23.46,23.52,6922146
8/14/2015 16:00:00,23.5,23.68,23.36,23.54,5366261
8/17/2015 16:00:00,23.5,23.5,23.1,23.39,6846973
8/18/2015 16:00:00,23.22,23.38,22.9,23.08,7177055
8/19/2015 16:00:00,23.05,23.31,22.74,22.99,6231842
8/20/2015 16:00:00,22.73,22.84,22.05,22.16,10673329
8/21/2015 16:00:00,22,22.37,21.45,21.47,9566639
8/24/2015 16:00:00,20.27,21.83,20,20.71,17057073
8/25/2015 16:00:00,21.62,21.7,20.28,20.28,15567110
8/26/2015 16:00:00,20.94,21.83,20.78,21.81,15374439
8/27/2015 16:00:00,22.04,22.64,21.91,22.63,11594083
8/28/2015 16:00:00,22.63,22.87,22.47,22.73,8023632
8/31/2015 16:00:00,22.62,22.78,22.39,22.48,5483810
9/1/2015 16:00:00,21.83,22.2,21.4,21.56,8835220
9/2/2015 16:00:00,22.15,22.22,21.78,22.21,8601065
9/3/2015 16:00:00,22.54,22.65,22.23,22.27,6563938
9/4/2015 16:00:00,21.89,22.24,21.74,21.75,7200245
9/8/2015 16:00:00,22.28,22.77,22.19,22.68,5961218
9/9/2015 16:00:00,22.75,22.94,22.18,22.23,7234849
9/10/2015 16:00:00,22.1,22.86,22,22.58,8926896
9/11/2015 16:00:00,22.33,22.8,22.24,22.65,7539608
9/14/2015 16:00:00,22.76,22.83,22.57,22.69,4811636
9/15/2015 16:00:00,22.7,23.06,22.63,22.94,8199412
9/16/2015 16:00:00,22.9,23.23,22.73,23.1,4337684
9/17/2015 16:00:00,23.5,23.71,23.26,23.31,6717769
9/18/2015 16:00:00,22.99,23.49,22.85,23.29,8160255
9/21/2015 16:00:00,23.32,23.58,23.2,23.53,7046616
9/22/2015 16:00:00,23.02,23.18,22.77,22.89,5708923
9/23/2015 16:00:00,22.91,23.14,22.82,23,4040849
9/24/2015 16:00:00,22.86,23.68,22.5,23.44,9561031
9/25/2015 16:00:00,23.73,24.07,23.38,23.61,9242268
9/28/2015 16:00:00,23.61,23.76,23.15,23.3,9889576
9/29/2015 16:00:00,23.55,23.75,23.22,23.71,9518373
9/30/2015 16:00:00,23.93,24.68,23.79,24.65,13909541
10/1/2015 16:00:00,24.65,24.72,23.47,24.17,12232427
10/2/2015 16:00:00,24.04,24.8,23.79,24.8,9653639
10/5/2015 16:00:00,24.96,25.73,24.83,25.42,12050571
10/6/2015 16:00:00,25.15,25.86,25.05,25.75,11360526
10/7/2015 16:00:00,25.81,26.28,25.39,26.02,7753799
10/8/2015 16:00:00,25.91,26.24,25.47,26.17,11501741
10/9/2015 16:00:00,26.03,26.28,25.58,26.07,10581210
10/12/2015 16:00:00,26.1,26.5,25.91,26.35,5689727
10/13/2015 16:00:00,26.14,26.56,26.05,26.4,7461071
10/14/2015 16:00:00,26.43,27.79,26.4,27.36,15304756
10/15/2015 16:00:00,27.41,27.99,27.13,27.43,13151151
10/16/2015 16:00:00,27.52,28.12,27.45,27.86,11209897
10/19/2015 16:00:00,27.95,28.08,27.49,27.81,7367780
10/20/2015 16:00:00,27.69,27.9,27.48,27.77,6620614
